,z_mm,z_left_mm,z_right_mm,ef_q25,ef_q50,ef_q75,ed_q25,ed_q50,ed_q75
0,0.273,0.0,0.546,57.45,57.75,58.05,57.45,57.75,58.05
2,0.8242499999999999,0.546,1.1025,56.85000000000001,57.150000000000006,57.45,56.85000000000001,57.150000000000006,57.45
4,1.3650000000000002,1.1025,1.6275,56.25,56.55,56.85000000000001,56.25,56.55,56.85000000000001
6,4.25758,3.97933,4.53583,52.85000000000001,53.150000000000006,53.55,52.85000000000001,53.150000000000006,53.55
8,9.126149999999999,8.8584,9.393899999999999,46.650000000000006,47.150000000000006,47.55,46.75,47.150000000000006,47.55
10,11.63235,11.3646,11.9001,43.25,43.75,44.150000000000006,43.25,43.75,44.150000000000006
12,14.1649,13.870899999999999,14.4589,39.55,40.150000000000006,40.55,39.650000000000006,40.150000000000006,40.55
14,16.69735,16.4296,16.9651,35.650000000000006,36.150000000000006,36.650000000000006,35.650000000000006,36.25,36.75
16,19.229799999999997,18.9358,19.5238,31.25,31.85,32.45,31.25,31.950000000000003,32.45
18,21.76235,21.4946,22.030099999999997,26.35,27.05,27.650000000000002,26.450000000000003,27.05,27.650000000000002
20,24.314749999999997,24.047,24.5825,20.450000000000003,21.35,22.05,20.55,21.35,22.150000000000002
22,24.95315,24.6749,25.2314,18.75,19.650000000000002,20.450000000000003,18.85,19.75,20.55
24,25.60205,25.3238,25.8803,16.950000000000003,17.950000000000003,18.75,17.05,18.05,18.85
26,26.27195,25.9727,26.571199999999997,14.75,15.850000000000001,16.85,14.95,16.05,16.950000000000003
28,26.9366,26.663600000000002,27.2096,12.45,13.650000000000002,14.75,12.75,13.95,14.850000000000001
30,27.595999999999997,27.302,27.89,9.650000000000002,11.150000000000002,12.350000000000001,10.25,11.55,12.650000000000002
32,28.2554,27.9824,28.5284,6.45,8.25,9.650000000000002,7.45,8.850000000000001,10.150000000000002
34,28.904300000000003,28.620800000000003,29.1878,3.6500000000000004,5.25,6.75,4.75,6.15,7.45
36,29.55845,29.2802,29.8367,2.05,3.25,4.45,3.05,4.15,5.25
